countryiso3code,country_x,year,WDI_GDP_Growth,WDI_GDPpc,WDI_Investment,WDI_Inflation,WDI_PopGrowth,WDI_Trade,WGI_CC.EST,WGI_GE.EST,WGI_RQ.EST,WGI_RL.EST,WGI_VA.EST,WGI_PV.EST,WGI_GE.EST_01,WGI_RL.EST_01,WGI_RQ.EST_01,WGI_CC.EST_01,S4_raw,S4_trend,S4_diff,V_5y,PSAV_shock,FQ_z_equal_weight,z_FH,z_RSF,z_VDEM,sources_used,country_y,country,g,log_gdppc,log_gdppc_lag,pi,pi2,S_PCA,F_PCA_main
CHN,China,2009,9.40269972778044,5237.76666540352,44.9282638913962,-0.728165250932903,0.497381400884935,44.4197644331119,-0.519456624984741,0.0932420492172241,-0.298093944787979,-0.46321377158165,-1.7011684179306,-0.451781332492828,0.5186484098434448,0.40735724568367,0.4403812110424042,0.3961086750030518,0.4406238853931427,0.4316181535833039,-0.0064712800085544,0.0070045104193068,0.0,-1.8201493436777816,-1.7207848769408447,,-1.9195138104147185,2,China,CHN,9.40269972778044,8.563650477569803,8.478758910298522,-0.728165250932903,0.5302246326661776,-0.5278000114692686,
CHN,China,2010,10.5962719761682,5764.86534987407,46.1023443345586,3.17532475269199,0.482959688678361,49.8540722339456,-0.570009887218475,0.0918448567390442,-0.320954978466034,-0.472601860761642,-1.68054747581482,-0.65706068277359,0.5183689713478088,0.4054796278476716,0.4358090043067932,0.385998022556305,0.4364139065146446,0.4326075148905497,-0.0042099788784981,0.0079038257483363,1.0,-1.8000731168983202,-1.711149299162553,,-1.888996934634088,2,China,CHN,10.5962719761682,8.659537075947144,8.563650477569803,3.17532475269199,10.082687285058446,-0.6169407087369494,
CHN,China,2011,9.4613358870736,6275.90956436258,46.2703012824496,5.55389892257491,0.546457594880274,49.9458272253443,-0.514727592468262,0.0836087092757225,-0.259136259555817,-0.453809976577759,-1.63760912418365,-0.602054834365845,0.5167217418551445,0.4092380046844482,0.4481727480888365,0.3970544815063476,0.4427967440336942,0.4347095475034079,0.0063828375190495,0.0077587608890378,0.0,-1.8816959496566248,-1.799476755039712,,-1.9639151442735376,2,China,CHN,9.4613358870736,8.744473703991705,8.659537075947144,5.55389892257491,30.845793242178747,-0.5895867031437967,
CHN,China,2012,7.85617427055587,6723.19443752823,45.8169211701107,2.61952432645539,0.678345458846803,47.48021307841,-0.438275933265686,0.0153677640482783,-0.28433284163475,-0.545384466648102,-1.63794147968292,-0.538782060146332,0.5030735528096557,0.3909231066703796,0.44313343167305,0.4123448133468628,0.437368726124987,0.435258134654354,-0.0054280179087071,0.0076767429067723,0.0,-1.8624134172446016,-1.7702048813335465,,-1.9546219531556568,2,China,CHN,7.85617427055587,8.813318683295542,8.744473703991705,2.61952432645539,6.861907696891564,-0.5968826659716863,
CHN,China,2013,7.77872409446717,7198.06876478162,45.9224093546636,2.62105001748119,0.666072977690069,45.9160413795144,-0.355887651443481,-0.0051206895150244,-0.331608176231384,-0.52588939666748,-1.63152050971985,-0.543789923191071,0.4989758620969951,0.394822120666504,0.4336783647537232,0.4288224697113038,0.4390747043071316,0.436045490966267,0.0017059781821445,0.0054738054094572,0.0,-0.4925395780176768,-1.734654494419699,2.188709292201352,-1.9316735318346827,3,China,CHN,7.77872409446717,8.881568041911155,8.813318683295542,2.62105001748119,6.869903194138147,-0.5983981781851982,-2.05427190955929
CHN,China,2014,7.46190028229434,7686.57792954381,45.3115352657107,1.92164162788522,0.630326389541893,44.0684564812401,-0.337719589471817,0.354851633310318,-0.331334412097931,-0.396053194999695,-1.61678075790405,-0.522584021091461,0.5709703266620636,0.420789361000061,0.4337331175804138,0.4324560821056366,0.4644872218370437,0.4419130050850101,0.0254125175299121,0.0124774051678255,0.0,-0.4066906435228159,-1.6224192326562132,2.189712896328568,-1.7873655942408024,3,China,CHN,7.46190028229434,8.947230960796519,8.881568041911155,1.92164162788522,3.692706546021358,-0.4899087499561961,-1.964487843348826
CHN,China,2015,6.97878002657477,8175.33285077393,42.7349872564364,1.43702380935656,0.581456146657648,38.6971848362233,-0.299921870231628,0.417423009872437,-0.354117453098297,-0.408455699682236,-1.66078317165375,-0.552559673786163,0.5834846019744874,0.4183088600635528,0.4291765093803406,0.4400156259536744,0.4677463993430137,0.4472424207324816,0.00325917750597,0.0115454278680495,0.0,-0.4189845994499463,-1.662678172644368,2.218246916324795,-1.8125225420302655,3,China,CHN,6.97878002657477,9.008876710627593,8.947230960796519,1.43702380935656,2.0650374286576385,-0.45345129958253233,-1.9974750906903402
CHN,China,2016,6.77555562837017,8679.37704460133,42.1386166189127,2.00000182191942,0.573050906069647,36.1771706929069,-0.268094301223755,0.356383770704269,-0.314001739025116,-0.32396873831749,-1.5593478679657,-0.502221345901489,0.5712767541408538,0.435206252336502,0.4371996521949768,0.446381139755249,0.4725159496068954,0.4524563364457988,0.0047695502638816,0.0115638920668817,0.0,-0.3275698744297787,-1.6489564097710758,2.463187629751528,-1.7969408432697882,3,China,CHN,6.77555562837017,9.068705036023728,9.008876710627593,2.00000182191942,4.000007287681,-0.4553210102790873,-2.072892588084545
CHN,China,2017,6.8912663621211,9221.51403820573,42.5497375507577,1.59313600071433,0.605245013482969,36.9508526159275,-0.291626125574112,0.416875630617142,-0.179426416754723,-0.255178093910217,-1.50353038311005,-0.232558101415634,0.5833751261234285,0.4489643812179566,0.4641147166490554,0.4416747748851776,0.4845322497189045,0.4590735804826201,0.0120163001120091,0.0097671532869642,1.0,-0.395571464884342,-1.6427477172890164,2.269264579801024,-1.8132312571650333,3,China,CHN,6.8912663621211,9.129294515456,9.068705036023728,1.59313600071433,2.5380823167720497,-0.32750655992331834,-2.0085564524253043
CHN,China,2018,6.75671800166833,9798.6528523316,43.313827489682,2.07479039965575,0.467672053461959,36.8943843914148,-0.286848217248917,0.496678441762924,-0.22858552634716,-0.186479195952415,-1.45938873291016,-0.298572480678558,0.5993356883525849,0.462704160809517,0.454282894730568,0.4426303565502166,0.4897382751107216,0.4653996908552557,0.005206025391817,0.0091828860168147,0.0,-0.4424236498512995,-1.7225088602207286,2.3276869920565963,-1.9324490813897663,3,China,CHN,6.75671800166833,9.19000019116182,9.129294515456,2.07479039965575,4.304755202503666,-0.3087222850290165,-2.0988995597696714
CHN,China,2019,6.06850235053705,10356.4804194995,42.6695374085222,2.89923416358229,0.354740890170827,35.1994202739021,-0.312614381313324,0.544862508773804,-0.304319977760315,-0.261681526899338,-1.62690627574921,-0.259780675172806,0.6089725017547608,0.4476636946201324,0.439136004447937,0.4374771237373352,0.4833123311400414,0.469095059124243,-0.0064259439706801,0.0066196832318017,0.0,-0.4450921824808793,-1.7452124122542112,2.360534375879178,-1.9505985110676043,3,China,CHN,6.06850235053705,9.245367730245357,9.19000019116182,2.89923416358229,8.4055587352827,-0.3275472990679102,-2.1247553510208825
CHN,China,2020,2.34018843078414,10573.6420059282,42.5723735094229,2.41942189457778,0.238040870229883,34.0389507864018,-0.0710281431674957,0.643971681594849,-0.202643379569054,-0.102505102753639,-1.65635871887207,-0.474127858877182,0.6287943363189699,0.4794989794492721,0.4594713240861892,0.4857943713665008,0.513389752805233,0.4782330311323267,0.0300774216651916,0.0134491977954676,0.0,-0.404437757828355,-1.729592034499667,2.401461859023521,-1.88518309800892,3,China,CHN,2.34018843078414,9.266119580153436,9.245367730245357,2.41942189457778,5.853602303962335,-0.2211546090166251,-2.1106374534522794
